60
1;Alfenas;78.970;1869;Sul de Minas;
2;Araguari;117.808;1888;Triangulo Mineiro;
3;Araxa;111.691;1791;Triangulo Mineiro;
4;Barbacena;125.317;1791;Campo das Vertentes;
5;Belo Horizonte;2.315.560;1897;Regiao Metropolitana de Belo Horizonte;
6;Betim;411.859;1711;Regiao Metropolitana de Belo Horizonte;
7;Caratinga;87.360;1848;Vale do Rio Doce;
8;Cataguases;66.261;1877;Zona da Mata;
9;Conselheiro Lafaiete;131.621;1790;Regiao Metropolitana de Belo Horizonte;
10;Contagem;621.865;1716;Regiao Metropolitana de Belo Horizonte;
11;Coronel Fabriciano;104.736;1949;Vale do Rio Doce;
12;Curvelo;80.352;1720;Central Mineira;
13;Divinopolis;231.091;1912;Oeste;
14;Esmeraldas;85.594;1901;Central Mineira;
15;Formiga;68.248;1839;Oeste de Minas;
16;Frutal;58.588;1887;Triangulo Mineiro;
17;Governador Valadares;257.172;1938;Vale do Rio Doce;
18;Ibirité;170.387;1963;Regiao Metropolitana de Belo Horizonte;
19;Ipatinga;227.731;1964;Vale do Rio Doce;
20;Itabira;113.343;1848;Regiao Metropolitana de Belo Horizonte;
21;Itajuba;93.073;1819;Sul de Minas;
22;Itauna;97.669;1901;Regiao Metropolitana de Belo Horizonte;
23;Ituiutaba;102.217;1901;Triangulo Mineiro;
24;Janauba;70.699;1948;Norte de Minas;
25;Januaria;65.130;1860;Norte de Minas;
26;Joao Monlevade;80.187;1964;Regiao Metropolitana de Belo Horizonte;
27;Juiz de Fora;540.756;1850;Zona da Mata;
28;Lagoa Santa;75.145;1733;Regiao Metropolitana de Belo Horizonte;
29;Lavras;104.761;1868;Campo das Vertentes;
30;Manhuacu;91.886;1877;Zona da Mata;
31;Mariana;61.387;1696;Regiao Metropolitana de Belo Horizonte;
32;Montes Claros;414.240;1831;Norte;
33;Muriae;104.108;1855;Zona da Mata;
34;Nova Lima;111.697;1891;Regiao Metropolitana de Belo Horizonte;
35;Nova Serrana;105.552;1953;Oeste de Minas;
36;Ouro Preto;74.824;1711;Regiao Metropolitana de Belo Horizonte;
37;Para de Minas;97.139;1859;Regiao Metropolitana de Belo Horizonte;
38;Paracatu;94.017;1798;Noroeste de Minas;
39;Passos;111.939;1848;Sul e Sudoeste de Minas;
40;Patos de Minas;159.235;1868;Triangulo Mineiro;
41;Patrocinio;89.826;1842;Noroeste de Minas;
42;Pedro Leopoldo;62.580;1924;Regiao Metropolitana de Belo Horizonte;
43;Pocos de Caldas;163.742;1872;Sul e Sudoeste de Minas;
44;Pouso Alegre;152.212;1848;Sul e Sudoeste de Minas;
45;Ribeirao das Neves;329.794;1953;Regiao Metropolitana de Belo Horizonte;
46;Sabara;129.372;1711;Regiao Metropolitana de Belo Horizonte;
47;Santa Luzia;218.805;1692;Regiao Metropolitana de Belo Horizonte;
48;Sao Joao del Rei;90.225;1838;Campo das Vertentes;
49;Sao Sebastiao do Paraiso;71.796;1821;Sul de Minas;
50;Sete Lagoas;227.360;1867;Regiao Metropolitana de Belo Horizonte;
51;Teofilo Otoni;137.418;1853;Vale do Mucuri;
52;Timoteo;81.579;1964;Vale do Rio Doce;
53;Tres Coracoes;75.485;1884;Sul de Minas;
54;Uba;103.365;1857;Zona da Mata;
55;Uberaba;337.846;1820;Triangulo Mineiro;
56;Uberlandia;713.232;1888;Triangulo Mineiro;
57;Unai;86.619;1943;Noroeste de Minas;
58;Varginha;136.467;1882;Sul e Sudoeste de Minas;
59;Vespasiano;129.246;1948;Regiao Metropolitana de Belo Horizonte;
60;Vicosa;76.430;1871;Zona da Mata;
